sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00211685	0	2281	2289	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00547368	0	2281	2289	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.00510856	0	2298	2226	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00544161	0	2298	2312	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00167224	0	2298	2327	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00170576	0	2298	2210	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00585529	0	2298	2323	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00126422	0	2298	2289	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00419992	0	2298	2289	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00338839	0	2226	2312	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00211685	0	2226	2327	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00173085	0	2226	2210	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00253915	0	2226	2323	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00170576	0	2226	2289	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00424809	0	2226	2289	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00125052	0	2312	2327	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00255102	0	2312	2210	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.483227	0	2312	2323	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00251783	0	2312	2289	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00167294	0	2312	2289	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.000847817	0	2327	2210	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00124948	0	2327	2323	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.000839983	0	2327	2289	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.0020903	0	2327	2289	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00212404	0	2210	2323	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00642674	0	2210	2289	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00127877	0	2210	2289	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00251783	0	2323	2289	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00167294	0	2323	2289	0
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00168492	0	2289	2289	0
