sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00342596	0	2521	2552	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00189753	0	2521	2577	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00193573	0	2521	2440	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.0026616	0	2521	2563	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00191424	0	2521	2529	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00495238	0	2521	2529	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.00500192	0	2538	2456	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00568397	0	2538	2552	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.001514	0	2538	2577	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00154143	0	2538	2440	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00530102	0	2538	2563	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00114373	0	2538	2529	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00418092	0	2538	2529	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00306396	0	2456	2552	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00191424	0	2456	2577	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00196002	0	2456	2440	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00267891	0	2456	2563	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00154143	0	2456	2529	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00499232	0	2456	2529	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.0011325	0	2552	2577	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00269024	0	2552	2440	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.484837	0	2552	2563	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00227877	0	2552	2529	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00189322	0	2552	2529	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.000766577	0	2577	2440	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00113165	0	2577	2563	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00114025	0	2577	2529	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00189251	0	2577	2529	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00230415	0	2440	2563	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00812693	0	2440	2529	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00115562	0	2440	2529	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00227877	0	2563	2529	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00189322	0	2563	2529	0
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00152439	0	2529	2529	0
