sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00607193	0	2058	2076	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00141309	0	2058	2049	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00422337	0	2058	2049	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00284225	0	1996	2072	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00236742	0	1996	2077	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00145208	0	1996	1980	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.0023663	0	1996	2076	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00190931	0	1996	2049	0
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00475285	0	1996	2049	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00139795	0	2072	2077	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00237869	0	2072	1980	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.478385	0	2072	2076	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00281294	0	2072	2049	0
data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00187178	0	2072	2049	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.000948317	0	2077	1980	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.0013947	0	2077	2076	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.000938527	0	2077	2049	0
data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00234192	0	2077	2049	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00237643	0	1980	2076	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.006238	0	1980	2049	0
data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.0014313	0	1980	2049	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00281294	0	2076	2049	0
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00186916	0	2076	2049	0
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00188324	0	2049	2049	0
